Neighbourhood,Total women,Spanish women,Foreign women,Distance nearest hospital km,Public,Health community center,Transport line,Distance nearest public hospital,porcentage,incomecapita,hospitalcode
Hospital General Universitario de Alicante,4.542,3.777,765,2,1,2,1950000,2,"0,3209894769",55800,1
Centre de Salut Alacant Ciutat Jardí,4265,"2889,5","1375,5",2,1,"1,85",2739000,2,"0,2672622821",17331,2
Hospital Provincial Plá,3.782,2.794,988,"1,3",0,"1,325",1236336,2,"0,28",25.231,3
Centro de Salud Parque Lo Morant,2.806,2.312,494,"1,375",0,"0,9333333333",1.068.000,2,"0,2241819272",18.804,4
Centre de Salut de Campoamor,"3643,5",2811,"832,5","0,825",0,"1,25","1725172,5","1,65","0,2381200194",18650,5
Centro de Salud Pública de Alicante,5908,4693,1215,"1,266666667",0,"1,333333333","1259333,333","1,6","0,2150785176","22331,33333",6
Centro Salud Babel,"2915,75","2456,25","459,5","2,9",1,"1,3875",1125000,"2,9","0,1628755215","22460,5",7
Centro de Salud Los Ángeles,5.778,4.932,846,"1,3",1,"0,26",0,"1,3","0,1576723303",19700,8
Centro de Salud Cabo Huertas,"8825,333333","7540,666667","1284,666667","2,533333333",1,"1,633333333",1370000,3,"0,1427484938","36430,66667",9
Hospital Vithas Medimar,3.124,2.754,370,"1,6",0,"1,2",0,2,"0,1219879518",31203,10
"Hospital San Vicente, Lillo Juan",2.177,1.949,228,"3,4",1,"1,1",0,"3,4","0,1026939903",21323,11
